Country,State,Year,Crime Head,"Number Of Incidences Or Cases (UOM:Number), Scaling Factor:1","Number Of Senior Citizen Victims (UOM:Number), Scaling Factor:1","Crime Rate Per Lakh Population (UOM:PerLakh(100000)), Scaling Factor:1"
India,26,6,12,3,3,0.1
India,26,6,16,91,93,3.2
India,26,6,14,1,1,0
India,26,6,15,0,0,0
India,26,6,2,0,0,0
India,26,6,3,6,6,0.2
India,26,6,9,27,29,0.9
India,26,6,21,4,4,0.1
India,26,6,22,0,0,0
India,27,6,14,0,0,0
India,27,6,7,15,15,0.3
India,27,6,3,103,103,2
India,27,6,2,6,6,0.1
India,27,6,21,3,3,0.1
India,27,6,15,0,0,0
India,27,6,16,652,657,12.8
India,27,6,11,0,0,0
India,27,6,12,6,6,0.1
India,27,6,22,0,0,0
India,27,6,10,505,510,9.9
India,27,6,9,14,14,0.3
India,28,6,7,0,0,0
India,28,6,22,0,0,0
India,28,6,11,0,0,0
India,28,6,12,0,0,0
India,28,6,16,4,4,9.8
India,28,6,3,0,0,0
India,28,6,21,0,0,0
India,28,6,2,0,0,0
India,28,6,15,0,0,0
India,28,6,9,2,2,4.9
India,28,6,14,0,0,0
India,28,6,10,2,2,4.9
India,29,6,2,22,22,0.3
India,29,6,14,5,5,0.1
India,29,6,22,0,0,0
India,29,6,21,62,67,0.8
India,29,6,9,171,174,2.3
India,29,6,10,2348,2409,31.3
India,29,6,11,0,0,0
India,29,6,12,117,117,1.6
India,29,6,16,2895,3207,38.5
India,29,6,7,16,18,0.2
India,29,6,3,148,389,2
India,29,6,15,6,6,0.1
India,30,6,15,1,1,0
India,30,6,2,9,9,0.3
India,30,6,3,224,236,6.5
India,30,6,7,6,8,0.2
India,30,6,9,42,43,1.2
India,30,6,10,1044,1102,30.3
India,30,6,11,2,2,0.1
India,30,6,12,43,43,1.2
India,30,6,16,1382,1455,40.1
India,30,6,21,7,7,0.2
India,30,6,22,1,1,0
India,30,6,14,3,3,0.1
India,31,6,22,0,0,0
India,31,6,16,0,0,0
India,31,6,12,0,0,0
India,31,6,11,0,0,0
India,31,6,10,0,0,0
India,31,6,9,0,0,0
India,31,6,7,0,0,0
India,31,6,3,0,0,0
India,31,6,2,0,0,0
India,31,6,15,0,0,0
India,31,6,14,0,0,0
India,31,6,21,0,0,0
India,32,6,10,5,6,1.7
India,32,6,9,5,5,1.7
India,32,6,7,0,0,0
India,32,6,3,0,0,0
India,32,6,2,0,0,0
India,32,6,15,0,0,0
India,32,6,14,0,0,0
India,32,6,22,0,0,0
India,32,6,21,0,0,0
India,32,6,16,10,11,3.5
India,32,6,12,0,0,0
India,32,6,11,0,0,0
India,33,6,9,188,190,1.2
India,33,6,10,189,189,1.2
India,33,6,11,2,2,0
India,33,6,12,39,39,0.3
India,33,6,16,621,624,4
India,33,6,15,0,0,0
India,33,6,14,37,38,0.2
India,33,6,22,5,5,0
India,33,6,21,29,29,0.2
India,33,6,7,77,77,0.5
India,33,6,3,51,51,0.3
India,33,6,2,4,4,0
India,34,6,21,1,1,0.1
India,34,6,22,0,0,0
India,34,6,14,0,0,0
India,34,6,15,0,0,0
India,34,6,2,0,0,0
India,34,6,3,0,0,0
India,34,6,7,0,0,0
India,34,6,9,0,0,0
India,34,6,10,0,0,0
India,34,6,11,0,0,0
India,34,6,12,0,0,0
India,34,6,16,1,1,0.1
India,35,6,21,17,23,0.2
India,35,6,9,25,25,0.3
India,35,6,10,99,117,1.3
India,35,6,11,0,0,0
India,35,6,12,8,8,0.1
India,35,6,16,184,215,2.4
India,35,6,22,2,2,0
India,35,6,14,6,6,0.1
India,35,6,7,18,25,0.2
India,35,6,3,6,6,0.1
India,35,6,2,2,2,0
India,35,6,15,1,1,0

# Dictionary
# Col1: 0=Andaman And Nicobar Islands|1=Andhra Pradesh|2=Arunachal Pradesh|3=Assam|4=Bihar|5=Chandigarh|6=Chhattisgarh|7=Delhi|8=Goa|9=Gujarat|10=Haryana|11=Himachal Pradesh|12=Jammu And Kashmir|13=Jharkhand|14=Karnataka|15=Kerala|16=Ladakh|17=Lakshadweep|18=Madhya Pradesh|19=Maharashtra|20=Manipur|21=Meghalaya|22=Mizoram|23=Nagaland|24=Odisha|25=Puducherry|26=Punjab|27=Rajasthan|28=Sikkim|29=Tamil Nadu|30=Telangana|31=The Dadra And Nagar Haveli And Daman And Diu|32=Tripura|33=Uttar Pradesh|34=Uttarakhand|35=West Bengal
# Col2: 0="Calendar Year (Jan - Dec), 2022"|1="Calendar Year (Jan - Dec), 2021"|2="Calendar Year (Jan - Dec), 2020"|3="Calendar Year (Jan - Dec), 2019"|4="Calendar Year (Jan - Dec), 2018"|5="Calendar Year (Jan - Dec), 2017"|6="Calendar Year (Jan - Dec), 2016"
# Col3: 0=Dacoity_Dacoity (Total)|1=Dacoity_Dacoity with Murder (Sec.396 IPC)|2="Extortion (Sec.384, 385 - 389 IPC)"|3="Forgery, Cheating & Fraud_Cheating (Sec.420 IPC)"|4="Forgery, Cheating & Fraud_Forgery (Sec.467, 468, 469,471 & 474 IPC)"|5="Forgery, Cheating & Fraud_Forgery, Cheating & Fraud (Total)"|6="Forgery, Cheating & Fraud_Fraud (Sec.420 r/w Sec.465,468-471 IPC)"|7="Grievous Hurt (Sec.325,326,326A & 326B IPC)"|8="Kidnapping and Abduction (Sec.363,364,364A,365, 367 & 368 IPC)"|9=Murder (Sec.302 IPC)|10=Other IPC Crimes|11=Rape (Sec.376 IPC)|12="Robbery (Sec. 392 to 394, 397 & 398 IPC)"|13=Criminal Trespass (Sec.447 to 452 IPC)|14=Culpable Homicide not amounting to Murder (Sec.304 IPC)|15="Dacoity_Dacoity (Sec.395, 397, 398 IPC)"|16=Total Crimes against Senior Citizen|17=Criminal Intimidation (Sec.506 IPC)|18=Theft (Sec.379 IPC)|19=Simple Hurt (Sec.323 & 324 IPC)|20=Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC)|21=Attempt to Commit Murder (Sec.307 IPC)|22=Attempt to commit Culpable Homicide (Sec.308 IPC)
